"Timestamp","ISBN","Title","Author","Publisher","Year","Summary","Genre","Reading level","Page count","Price"
"2020/01/29 11:53:12 AM PST","9789849251309","Our Boat Ride Through Bangladesh","Naheed iqbal ","Ignite publications","2016","","Geography","4","22","10"
"2020/01/29 11:55:06 AM PST","9789843427397","Our Bus ride through Bangladesh","Naheed iqbal","Ignite publications ","2017","","Geography","4","25","10"
"2020/01/29 11:57:59 AM PST","9789849234142","Dhaka Nodi","Mohammad Asad","Mahbubul Haque","2017","","Geography","5","17","10"
"2020/01/29 12:00:46 PM PST","9789849212874","Thik Dukkur bela","Biplob chakroborty","Mahbubul Haque","2016","","Fiction","5","17","10"
"2020/01/29 12:03:05 PM PST","9789849234111","Konkaboti","Farzana Tannee","Mahbubul Haque","2016","","General","5","16","10"
"2020/01/29 12:05:21 PM PST","9789849212744","Tina Ar Mina","Ahmed riaj","Mahbubul Haque/ ikrimikri","2016","","General","4","16","10"
"2020/01/29 12:05:32 PM PST","9789849212744","Tina Ar Mina","Ahmed riaj","Mahbubul Haque/ ikrimikri","2016","","General","4","16","10"
"2020/01/29 12:05:49 PM PST","9789849212744","Tina Ar Mina","Ahmed riaj","Mahbubul Haque/ ikrimikri","2016","","General","4","16","10"
"2020/01/29 12:30:02 PM PST","9789849212805","Kalo Kak Ar shada Megh ","Ahmed Riaj","Mahbubul Haque/ ikrimikri","2016","","General","5","15","10"
"2020/01/29 12:32:12 PM PST","9789849212843","Vut ki Odvut","Russell Abdullah","Mahbubul Haque/ ikrimikri ","2016","","Fiction","4","10","10"
"2020/01/29 12:34:37 PM PST","9789849212737","Kajla didi","Jatindramohan Bagchi","Mahbubul Haque/ikrimikri ","2016","","General","5","10","5"
"2020/01/29 12:39:51 PM PST","9789849234173","Pahare amar bari","Dhrubo Esh","Mahbubul Haque/ ikrimikri ","2016","","General","3","16","10"
"2020/01/29 12:42:57 PM PST","9789849212713","Ghulghuli naki choruier basa","Ahmed Riaj","Mahbubul Haque/ ikrimikri ","2016","","General","4","10","5"
"2020/01/29 12:48:37 PM PST","9789849234166","Chora chori"," Sabyasachi Mistry ","Mahbubul Haque/ ikrimikri ","2016","","General","4","12","10"
"2020/01/29 12:50:48 PM PST","9789849212706","Chobir khata"," Ahmed Riaj ","Mahbubul Haque/ ikrimikri ","2016","","General","3","8","5"
"2020/01/29 12:52:41 PM PST","9789849212799","Nodi nebe","Kakoli prodhan","Mahbubul Haque/ ikrimikri ","2016","","Geography","5","16","5"
"2020/01/29 12:54:57 PM PST","9789849212881","Shuapoka O projapoti","Binoy bormon ","Mahbubul Haque/ikrimikri ","2016","","General","4","10","10"
"2020/01/29 12:56:44 PM PST","9789849212829","Dhek Ar Ak","Dhruba Esh ","Mahbubul Haque/ ikrimikri ","2016","","General","3","8","5"
"2020/01/29 12:59:59 PM PST","","Chorai chobi","Mohendronath datta"," Shishu shahitto kendro ","2012","","General","1","12","5"
"2020/01/29 1:02:25 PM PST","1412082439","Tales from Bangladesh ","Khojesta A price","Trafford","2016","","Biography","5","12","10"
"2020/01/29 5:58:56 PM PST","","Mitu ekdin sisimpure","Manik manobik","Sisimpur","2013","","Fairy tale","4","13","5"
