Timestamp,ISBN,Title,Author,Publisher,Year,Summary,Genre,Reading level,Page count,Price
,9848494191,Petuk Robot Level-4 Book-4,Lorraine Li,World's of Children's Books Limited,2004,,General ,3,16,5
,9848494006,Aami Rong Korte Paari. Level-1 Book-4,Lorraine Li,World's of Children's Books Limited,2004,,General ,2,16,5
,9848494006,Aami Rong Korte Paari. Level-1 Book-4,Lorraine Li,World's of Children's Books Limited,2004,,General ,2,16,5
,9848494191,Petuk Robot Level-4 Book-4,Lorraine Li,World's of Children's Books Limited,2004,,General ,3,16,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,World of children's  Book,2004,,General ,1,16,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,World  of children's  Book ,2004,,General ,1,16,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,World of children's Book,2004,,General ,1,16,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,World  of children's Book,2004,,General ,1,16,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,World of children's Book,2004,,General ,1,16,5
,9789848494004,Boloto Aaami Ke? Level-1 Book-1,Lorraine Li,World of children's Book ,2004,,General ,1,16,5
,9848625011,Bolte Paaro Ki!,Von Oi Chin,World's of Children's Books Limited,2004,,General ,2,12,5
,9848625011,Bolte Paaro Ki!,Von Oi Chin,World's of Children's Books Limited,2004,,General ,2,12,5
,9848625011,Bolte Paaro Ki!,Von Oi Chin,World's of Children's Books Limited,2004,,General ,2,12,5
,9848625054,Boi Porhi,Von Oi Chin,World's of Children's Books Limited,2004,,General ,3,12,5
,9848625054,Boi Porhi,Von Oi Chin,World's of Children's Books Limited,2004,,General ,3,12,5
,9848625995,Aamra Dujon Bondhhu,Von Oi Chin,World of Children's Books Ltd,2004,,General ,3,12,5
,9848494901,Aamaar Icchaa Kore...,Von Oi Chin,World's of Children's Books Limited,2005,,General,3,12,5
,9848625038,Kaar Kaar Fotaa Achhe?,Von Oi Chin,World's of Children's Books Limited,2005,,General ,3,12,5
,9848625038,Kaar Kaar Fotaa Achhe?,Von Oi Chin,World's of Children's Books Limited,2005,,General,3,12,5
,9848625038,Kaar Kaar Fotaa Achhe?,Von Oi Chin,World's of Children's Books Limited,2005,,General,3,12,5
,9848625046,Raaino Gosol Kore,Von Oi Chin,World's of Children's Books Limited,2005,,General ,3,12,5
,9848625046,Raaino Gosol Kore,Von Oi Chin,World's of Children's Books Limited,2005,,General ,3,12,5
,9848625003,Milir Party,Von Oi Chin,World's of Children's Books Limited,2005,,General ,2,12,5
,9848625003,Milir Party,Von Oi Chin,World's of Children's Books Limited,2005,,General,2,12,5
,9789849125181,Aamio Jaabo,Nirapod Sorkaar,Boi Porhi,2014,,General ,2,12,5
,9789849125181,Aamio Jaabo,Nirapod Sorkaar,Boi Porhi,2014,,General ,2,12,5
,9789849125112,Hese Khele Porhi,Nirapod Sorkaar,Boi Porhi,2014,,General ,2,12,5
,9789849125112,Hese Khele Porhi,Nirapod Sorkaar,Boi Porhi,2014,,General ,2,12,5
,9781595721358,Rong Beronger Praani,"Wildsmith, Brian",Star Bright Books,2009,,Fiction,1,16,5
,9781595726605,Aamaar Facebok,Star Bright Books,Star Bright Books,2013,,Fiction,1,12,5
