Timestamp,ISBN,Title,Author,Publisher,Year,Summary,Genre,Reading level,Page count,Price
,9848494226,Gattu Baajaar Korte Jaay Level-5 Book-1,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494336,Chhotto Murgi Chhaanaa,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9848494944,Daainir Jaadumontro,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,9848494944,Daainir Jaadumontro,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,,Tusir Aamgaachh,Limiyaa Dewaan,Brac,,,Fiction,3,16,10
,9789849125167,Aamraa khelaa kori,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9789849125167,Aamraa khelaa kori,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9789849113768,Aamaar Prothom Bornomaalaa,Jugol Sorkaar,,,,General,,,
,9841900149,Baagher Paalki Chorhaa,Upendrokishor Ray Chowdhury,Brac,,,Fiction,5,32,10
,9841900149,Baagher Paalki Chorhaa,Upendrokishor Ray Chowdhury,Brac,,,Fiction,5,32,10
,9841900173,Graamer Naam Chougaachhee,Aabu Saaleh,Brac,,,Fiction,2,16,5
,9841900173,Graamer Naam Chougaachhee,Aabu Saaleh,Brac,,,Fiction,2,16,5
,9841900173,Graamer Naam Chougaachhee,Aabu Saaleh,Brac,,,Fiction,2,16,5
,9841900173,Graamer Naam Chougaachhee,Aabu Saaleh,Brac,,,Fiction,2,16,5
,,Golper Asor-4,,Brac,,,Fiction,4,20,10
,8943000005498,Shebaar Raani O Hudhud Paakhi,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,,Mitur Shopno,Translated,Brac,,,Fiction,3,14,10
,9848494872,Baabaa Roj Deri Kore,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,,Laau Gorh Gorh Gaarhi,,Brac,,,Fiction,2,10,5
,,Aadibaaseeder Peshaa,,Brac,,,Fiction,2,10,5
,9848494108,Aami Aar Baabaa Cake Baanaai Level-3 Book-1,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494336,Chhotto Murgi Chhaanaa,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9843000005344,Piprher Aatongko,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9841900963,Ikrir Ful,M. Aaslaam Liton,Brac,,,Fiction,4,16,10
,9789383202379,Krishna,,,,,General,1,,5
